Artist,numberOfChildren,mostRecentSocialMediaFollowers
The Beatles,[],"{'Twitter/X': ['P6552', Decimal('3882367')], 'Youtube': ['P2397', Decimal('8070000')]}"
Elvis Presley,[],"{'Twitter/X': ['P6552', Decimal('348519')], 'Youtube': ['P2397', Decimal('70000')]}"
Michael Jackson,[],"{'Twitter/X': ['P6552', Decimal('2352283')], 'Youtube': ['P2397', Decimal('29700000')]}"
Elton John,[Decimal('2')],"{'Twitter/X': ['P6552', Decimal('1200960')], 'Youtube': None}"
Queen,[],"{'Twitter/X': ['P6552', Decimal('2195409')], 'Youtube': ['P2397', Decimal('17500000')]}"
Madonna,[],"{'Twitter/X': None, 'Youtube': None}"
Led Zeppelin,[],"{'Twitter/X': ['P6552', Decimal('739336')], 'Youtube': ['P2397', Decimal('3360000')]}"
Rihanna,[],"{'Twitter/X': ['P6552', Decimal('107831774')], 'Youtube': ['P2397', Decimal('36600000')]}"
Pink Floyd,[],"{'Twitter/X': ['P6552', Decimal('3447531')], 'Youtube': None}"
Eminem,[Decimal('3')],"{'Twitter/X': ['P6552', Decimal('22860636')], 'Youtube': None}"
Mariah Carey,[Decimal('2')],"{'Twitter/X': ['P6552', Decimal('21912982')], 'Youtube': ['P2397', Decimal('10600000')]}"
Taylor Swift,[],"{'Twitter/X': ['P6552', Decimal('92346584')], 'Youtube': ['P2397', Decimal('56700000')]}"
Beyonce,[Decimal('3')],"{'Twitter/X': ['P6552', Decimal('15773984')], 'Youtube': ['P2397', Decimal('26700000')]}"
Whitney Houston,[],"{'Twitter/X': None, 'Youtube': None}"
Eagles,[],"{'Twitter/X': ['P6552', Decimal('3731114')], 'Youtube': None}"
Celine Dion,[Decimal('3')],"{'Twitter/X': ['P6552', Decimal('937658')], 'Youtube': None}"
The Rolling Stones,[],"{'Twitter/X': ['P6552', Decimal('3523147')], 'Youtube': ['P2397', Decimal('3140000')]}"
Drake,[],"{'Twitter/X': None, 'Youtube': None}"
Kanye West,[Decimal('4')],"{'Twitter/X': ['P6552', Decimal('30873769')], 'Youtube': ['P2397', Decimal('6940000')]}"
Billy Joel,[],"{'Twitter/X': ['P6552', Decimal('328003')], 'Youtube': ['P2397', Decimal('1780000')]}"
Justin Bieber,[],"{'Twitter/X': ['P6552', Decimal('114264755')], 'Youtube': ['P2397', Decimal('71200000')]}"
Ed Sheeran,[Decimal('2')],"{'Twitter/X': ['P6552', Decimal('18621667')], 'Youtube': ['P2397', Decimal('54200000')]}"
Bruno Mars,[],"{'Twitter/X': ['P6552', Decimal('43241006')], 'Youtube': ['P2397', Decimal('37600000')]}"
Bruce Springsteen,[],"{'Twitter/X': ['P6552', Decimal('1351355')], 'Youtube': ['P2397', Decimal('2010000')]}"
U2,[],"{'Twitter/X': ['P6552', Decimal('1643777')], 'Youtube': ['P2397', Decimal('2650000')]}"
Aerosmith,[],"{'Twitter/X': ['P6552', Decimal('2137408')], 'Youtube': ['P2397', Decimal('3830000')]}"
Phil Collins,[Decimal('5')],"{'Twitter/X': ['P6552', Decimal('199117')], 'Youtube': ['P2397', Decimal('2620000')]}"
Barbra Streisand,[],"{'Twitter/X': ['P6552', Decimal('798972')], 'Youtube': ['P2397', Decimal('493000')]}"
ABBA,[],"{'Twitter/X': ['P6552', Decimal('90027')], 'Youtube': ['P2397', Decimal('2920000')]}"
Frank Sinatra,[Decimal('3')],"{'Twitter/X': ['P6552', Decimal('78953')], 'Youtube': None}"
Katy Perry,[],"{'Twitter/X': ['P6552', Decimal('109142030')], 'Youtube': None}"
Chris Brown,[Decimal('3')],"{'Twitter/X': ['P6552', Decimal('32601652')], 'Youtube': ['P2397', Decimal('24700000')]}"
Jay Z,[Decimal('3')],"{'Twitter/X': ['P6552', Decimal('3087416')], 'Youtube': None}"
Metallica,[],"{'Twitter/X': ['P6552', Decimal('6212620')], 'Youtube': ['P2397', Decimal('10200000')]}"
Lady Gaga,[],"{'Twitter/X': ['P6552', Decimal('84906261')], 'Youtube': ['P2397', Decimal('23800000')]}"
Lil Wayne,[Decimal('4')],"{'Twitter/X': ['P6552', Decimal('35081451')], 'Youtube': None}"
Maroon 5,[],"{'Twitter/X': ['P6552', Decimal('14732968')], 'Youtube': ['P2397', Decimal('34400000')]}"
Adele,[Decimal('1')],"{'Twitter/X': ['P6552', Decimal('27684011')], 'Youtube': ['P2397', Decimal('29700000')]}"
Red Hot Chili Peppers,[],"{'Twitter/X': ['P6552', Decimal('2607525')], 'Youtube': None}"
Fleetwood Mac,[],"{'Twitter/X': ['P6552', Decimal('290078')], 'Youtube': None}"
Bon Jovi,[],"{'Twitter/X': ['P6552', Decimal('3005431')], 'Youtube': None}"
Rod Stewart,[],"{'Twitter/X': ['P6552', Decimal('523929')], 'Youtube': ['P2397', Decimal('2340000')]}"
Bee Gees,[],"{'Twitter/X': ['P6552', Decimal('29531')], 'Youtube': ['P2397', Decimal('3990000')]}"
Nicki Minaj,[Decimal('1')],"{'Twitter/X': ['P6552', Decimal('27763870')], 'Youtube': ['P2397', Decimal('21800000')]}"
Coldplay,[],"{'Twitter/X': ['P6552', Decimal('23731748')], 'Youtube': None}"
Linkin Park,[],"{'Twitter/X': ['P6552', Decimal('6043541')], 'Youtube': ['P2397', Decimal('19900000')]}"
P!nk,[Decimal('2')],"{'Twitter/X': ['P6552', Decimal('33074696')], 'Youtube': ['P2397', Decimal('11900000')]}"
Britney Spears,[Decimal('2')],"{'Twitter/X': ['P6552', Decimal('57977249')], 'Youtube': ['P2397', Decimal('10000000')]}"
Shania Twain,[],"{'Twitter/X': ['P6552', Decimal('981958')], 'Youtube': None}"
Guns N' Roses,[],"{'Twitter/X': ['P6552', Decimal('6465023')], 'Youtube': None}"
Backstreet Boys,[],"{'Twitter/X': ['P6552', Decimal('1063099')], 'Youtube': ['P2397', Decimal('6570000')]}"
Eric Clapton,[],"{'Twitter/X': ['P6552', Decimal('158557')], 'Youtube': ['P2397', Decimal('1310000')]}"
Neil Diamond,[],"{'Twitter/X': ['P6552', Decimal('867024')], 'Youtube': ['P2397', Decimal('343000')]}"
Prince,[],"{'Twitter/X': None, 'Youtube': None}"
Journey,[],"{'Twitter/X': None, 'Youtube': None}"
Paul McCartney,[],"{'Twitter/X': ['P6552', Decimal('4280836')], 'Youtube': ['P2397', Decimal('1270000')]}"
Janet Jackson,[Decimal('1')],"{'Twitter/X': ['P6552', Decimal('4206576')], 'Youtube': ['P2397', Decimal('1260000')]}"
Kenny Rogers,[],"{'Twitter/X': ['P6552', Decimal('163518')], 'Youtube': None}"
Santana,[],"{'Twitter/X': ['P6552', Decimal('168209')], 'Youtube': ['P2397', Decimal('1650000')]}"
George Michael,[],"{'Twitter/X': ['P6552', Decimal('559514')], 'Youtube': ['P2397', Decimal('7800')]}"
Dire Straits,[],"{'Twitter/X': None, 'Youtube': ['P2397', Decimal('793000')]}"
The Doors,[],"{'Twitter/X': ['P6552', Decimal('945899')], 'Youtube': ['P2397', Decimal('1070000')]}"
Foreigner,[],"{'Twitter/X': None, 'Youtube': None}"
Chicago,[],"{'Twitter/X': ['P6552', Decimal('56242')], 'Youtube': ['P2397', Decimal('198000')]}"
Bob Dylan,[],"{'Twitter/X': ['P6552', Decimal('428462')], 'Youtube': None}"
Carpenters,[],"{'Twitter/X': None, 'Youtube': None}"
Meat Loaf,[Decimal('2')],"{'Twitter/X': ['P6552', Decimal('102594')], 'Youtube': ['P2397', Decimal('112000')]}"
Cher,[],"{'Twitter/X': ['P6552', Decimal('4569')], 'Youtube': None}"
Def Leppard,[],"{'Twitter/X': ['P6552', Decimal('957092')], 'Youtube': ['P2397', Decimal('913000')]}"
Genesis,[],"{'Twitter/X': None, 'Youtube': None}"
David Bowie,[Decimal('2')],"{'Twitter/X': ['P6552', Decimal('983894')], 'Youtube': ['P2397', Decimal('1700000')]}"
Stevie Wonder,[],"{'Twitter/X': ['P6552', Decimal('161088')], 'Youtube': ['P2397', Decimal('1180000')]}"
James Taylor,[],"{'Twitter/X': ['P6552', Decimal('103023')], 'Youtube': None}"
Tina Turner,[Decimal('4')],"{'Twitter/X': ['P6552', Decimal('116176')], 'Youtube': ['P2397', Decimal('1450000')]}"
Olivia Newton-John,[],"{'Twitter/X': ['P6552', Decimal('181284')], 'Youtube': ['P2397', Decimal('158000')]}"
Linda Ronstadt,[],"{'Twitter/X': None, 'Youtube': ['P2397', Decimal('224000')]}"
The Beach Boys,[],"{'Twitter/X': ['P6552', Decimal('88907')], 'Youtube': None}"
Donna Summer,[],"{'Twitter/X': ['P6552', Decimal('1866')], 'Youtube': ['P2397', Decimal('310000')]}"
Alicia Keys,[Decimal('2')],"{'Twitter/X': ['P6552', Decimal('30994262')], 'Youtube': None}"
Christina Aguilera,[Decimal('2')],"{'Twitter/X': ['P6552', Decimal('17192945')], 'Youtube': None}"
Lionel Richie,[],"{'Twitter/X': ['P6552', Decimal('348435')], 'Youtube': ['P2397', Decimal('929000')]}"
Johnny Cash,[],"{'Twitter/X': ['P6552', Decimal('44508')], 'Youtube': None}"
