Artist,Children,Spouse,Siblings,RecordLabel
The Beatles,[],[],[],"['Apple Records', 'Capitol Records', 'Parlophone', 'United Artists Records', 'Vee-Jay Records', 'Polydor Records', 'Parlophon', 'I Dischi dello Zodiaco']"
Elvis Presley,['Lisa Marie Presley'],['Priscilla Presley'],['Jessie Garon Presley'],"['Sun Records', 'RCA Victor']"
Michael Jackson,"['Prince Jackson', 'Paris Jackson', 'Blanket Jackson']","['Lisa Marie Presley', 'Debbie Rowe']","['Rebbie Jackson', 'Janet Jackson', 'La Toya Jackson', 'Jermaine Jackson', 'Marlon Jackson', 'Randy Jackson', 'Jackie Jackson', 'Tito Jackson', 'Brandon Jackson']","['Epic Records', 'Sony Music', 'Motown', 'Universal Music Group', 'Sony BMG', 'Legacy Recordings', 'Steeltown Records']"
Elton John,[],"['Renate Blauel', 'David Furnish']",[],"['Universal Records', 'Island Records', 'Philips Records', 'DJM Records', 'Uni', 'Geffen Records', 'Paramount Records', 'Mercury Records', 'MCA Records', 'Def Jam Recordings', 'Congress', 'The Rocket Record Company', 'IL', 'Chrysalis Records', 'A&M Records', 'Regal Zonophone', 'Stateside Records', 'Cube Records']"
Queen,[],[],[],"['Elektra', 'Capitol Records', 'EMI Records', 'Hollywood Records', 'Parlophone', 'Island Records', 'EMI']"
Madonna,"['Jesus', 'James the Just', 'Simon, brother of Jesus', 'Jude', 'Joses']",['Joseph'],"['Salome', 'Mary of Clopas']",[]
Led Zeppelin,[],[],[],"['Atlantic Records', 'Decca', 'Swan Song Records']"
Rihanna,['RZA Athelston Mayers'],[],[],"['Def Jam Recordings', 'Westbury Road Entertainment', 'Roc Nation']"
Pink Floyd,[],[],[],"['Tower Records', 'Harvest', 'Capitol Records', 'Columbia Records', 'EMI', 'Parlophone', 'Columbia Graphophone Co. Ltd.', 'Sony Music', 'Warner Music Group']"
Eminem,[],"['Kim Scott', 'Kim Scott']",[],"['Shady Records', 'Interscope Records', 'Aftermath Entertainment', 'WEB Entertainment']"
Mariah Carey,[],"['Tommy Mottola', 'Nick Cannon']",[],"['Sony Music', 'Def Jam Recordings', 'Universal Music Group', 'Columbia Records', 'Epic Records', 'Island Records', 'Virgin Music', 'Legacy Recordings', 'Monarc Entertainment', 'Butterfly MC Records']"
Taylor Swift,[],[],['Austin Swift'],"['Big Machine Records', 'Republic Records']"
Beyonce,"['Rumi Carter', 'Blue Ivy Carter', 'Sir Carter']",['Jay-Z'],['Solange Knowles'],"['Columbia Records', 'Parkwood Entertainment', 'Music World Entertainment']"
Whitney Houston,['Bobbi Kristina Brown'],['Bobby Brown'],"['Gary Garland', 'Dionne Warwick']","['Arista Records', 'RCA Records']"
Eagles,[],[],[],[]
Celine Dion,"['René-Charles Angelil', 'Nelson Angélil', 'Eddy Angélil']",['René Angélil'],"['Claudette Dion', 'Paul Dion', 'Jacques Dion']","['Columbia Records', '550 Music', 'Epic Records', 'CBS Records International', 'Legacy Recordings', 'Sony Music Canada', 'Sony BMG Music Entertainment']"
The Rolling Stones,[],[],[],"['Polydor Records', 'Columbia Records', 'Atlantic Records', 'Virgin Music', 'Warner Music Group', 'ABKCO Records', 'Rolling Stones Records', 'Decca', 'Interscope Records', 'London']"
Drake,[],[],[],[]
Kanye West,"['North West', 'Saint West', 'Chicago West', 'Psalm West']",['Kim Kardashian'],[],"['GOOD Music', 'Roc-A-Fella Records', 'Def Jam Recordings']"
Billy Joel,"['Alexa Ray Joel', 'Della Rose Joel']","['Christie Brinkley', 'Katie Lee', 'Alexis Roderick']",[],"['Columbia Records', 'Philips Records', 'Sony Music', 'Sony Classical']"
Justin Bieber,[],['Hailey Bieber'],"['Jazmyn Bieber', 'Jaxon Bieber']","['Island Records', 'RBMG Records', 'School Boy Records', 'Def Jam Recordings']"
Ed Sheeran,[],[],[],"['Asylum Records', 'Atlantic Records', 'Elektra']"
Bruno Mars,[],[],"['Eric Hernandez', 'Jaime Kailani', 'Tiara Hernandez', 'Tahiti Hernandez', 'Presley Hernandez']","['Atlantic Records', 'Motown', 'Universal Motown Records', 'Elektra']"
Bruce Springsteen,['Jessica Springsteen'],"['Julianne Phillips', 'Patti Scialfa']",['Pamela Springsteen'],['Columbia Records']
U2,[],[],[],"['Island Records', 'Interscope Records', 'Columbia Records', 'Mercury Records']"
Aerosmith,[],[],[],"['Columbia Records', 'Geffen Records', 'Interscope Records', 'Epic Records', 'Universal Music Group', 'Hollywood Records', 'Sony Music', 'Island Records']"
Phil Collins,"['Joely Collins', 'Lily Collins', 'Simon Collins', 'Matthew Collins', 'Nicholas Collins']","['Orianne Cevey', 'Andrea Bertorelli']",[],"['Virgin Music', 'Atlantic Records', 'Warner Records Inc.', 'Walt Disney Records', 'Rhino Entertainment Company']"
Barbra Streisand,['Jason Gould'],"['James Brolin', 'Elliott Gould']",['Roslyn Kind'],"['Columbia Records', 'Decca', 'London']"
ABBA,[],[],[],"['Polydor Records', 'Polar', 'Atlantic Records', 'Epic Records', 'Universal Music Group', 'RCA Records', 'Polar Music International AB', 'Vogue', 'Tonpress', 'RSO Records', 'Melodiya', 'CBS', 'Dynamic Sounds Studio', 'Carnaby Music', 'Amiga', 'Unidisc Music', 'WEA', 'PolyGram', 'PolyGram Polska', 'Philips Records', 'Karussell', 'Opus', 'Dig-It', 'Som Livre', 'K-tel', 'EMI', 'Castle Communications', 'Hallmark Records', 'Polskie Nagrania Muza', 'Team Mariann Compilation', 'Pickwick', 'Telstar', 'Dino Entertainment', 'Tower Records', 'Gallo Record Company', 'PGP-RTB', 'not on label', 'Vene Music', 'Universal Music Enterprises', 'World Music Network', 'BBC Transcription Services', 'CAR Juke Box', 'RCA Victor', 'Playboy Records', 'United States Department of Defense', 'Balkanton', 'Universal Music Denmark', 'Disques Vogue', 'Aftonbladet']"
Frank Sinatra,"['Nancy Sinatra', 'Frank Sinatra Jr.', 'Tina Sinatra']","['Nancy Barbato', 'Ava Gardner', 'Mia Farrow', 'Barbara Sinatra']",[],"['Reprise Records', 'Columbia Records', 'Capitol Records', 'Warner Bros. Records', 'RCA Records', 'Philips Records']"
Katy Perry,['Daisy Dove Bloom'],['Russell Brand'],"['David Hudson', 'Angela Hudson']","['Pamplin Music', 'The Island Def Jam Music Group', 'Columbia Records', 'Capitol Records', 'Island Records']"
Chris Brown,"['Royalty Brown', 'Aeko Catori Brown', 'Lovely Symphani Brown']",[],[],"['RCA Records', 'Jive Records']"
Jay Z,"['Blue Ivy Carter', 'Sir Carter', 'Rumi Carter']",['Beyoncé'],[],"['Roc-A-Fella Records', 'Roc Nation', 'Atlantic Records', 'Northwestside Records']"
Metallica,[],[],[],"['Warner Bros. Records', 'Megaforce Records', 'Elektra', 'Vertigo', 'Mercury Records', 'Universal Music Group', 'Virgin EMI Records']"
Lady Gaga,[],[],['Natali Germanotta'],"['Cherrytree Records', 'Def Jam Recordings', 'Interscope Records', 'KonLive Distribution', 'Universal Music Group']"
Lil Wayne,['Reginae Carter'],['Toya Johnson'],[],"['Young Money Entertainment', 'Republic Records', 'Universal Music Group', 'Cash Money Records']"
Maroon 5,[],[],[],"['A&M Records', 'Reprise Records']"
Adele,['Angelo Adkins'],['Simon Konecki'],[],"['XL Recordings', 'Columbia Records', 'Sony Music']"
Red Hot Chili Peppers,[],[],[],"['EMI', 'Warner Music Group', 'EMI Records', 'Warner Bros. Records', 'Capitol Records']"
Fleetwood Mac,[],[],[],"['Sanctuary Records', 'Sire', 'Columbia Records', 'Epic Records', 'CBS Records', 'Reprise Records', 'Warner Bros. Records', 'Blue Horizon']"
Bon Jovi,[],[],[],"['Island Records', 'Mercury Records']"
Rod Stewart,"['Kimberly Stewart', 'Sean Stewart', 'Renee Stewart', 'Liam Stewart', 'Ruby Stewart']","['Alana Stewart', 'Rachel Hunter', 'Penny Lancaster']",[],"['Warner Bros. Records', 'Atlantic Records', 'Capitol Records', 'Mercury Records', 'Warner Records']"
Bee Gees,[],[],[],"['Leedon', 'Spin', 'Polydor Records', 'RSO Records', 'Brunswick Records', 'Mercury Records', 'Philips Records', 'Fontana Records']"
Nicki Minaj,[],['Kenneth Petty'],['Ming Maraj'],"['Cash Money Records', 'Republic Records', 'Young Money Entertainment']"
Coldplay,[],[],[],"['Capitol Records', 'Atlantic Records', 'Parlophone', 'Fierce Panda Records']"
Linkin Park,[],[],[],"['Warner Bros. Records', 'Machine Shop Records']"
P!nk,"['Willow Hart', 'Jameson Hart', 'Willow Sage Hart']",['Carey Hart'],[],"['RCA Records', 'Legacy Recordings', 'Jive Records', 'Arista Records', 'LaFace Records']"
